id,manufacturer,model,transmission,color,odometer,year,engineFuel,engineType,engineCapacity,bodyType,drivetrain,photos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,Hyundai,i40,automatic,red,48000,2014,gasoline,gasoline,2.0,sedan,front,1,False,True,False,False,False,True,False,False,True,True
2,Mitsubishi,Carisma,mechanical,green,320000,2000,diesel,diesel,1.9,hatchback,front,13,False,True,False,False,False,False,False,False,False,False
3,Volkswagen,T5,mechanical,white,164000,2011,diesel,diesel,2.0,minibus,front,14,False,True,False,True,False,False,True,True,True,False
4,Volkswagen,T4 Multivan,mechanical,blue,385672,1998,diesel,diesel,2.5,minibus,front,1,False,True,True,False,False,False,False,False,True,True
5,Toyota,Camry,automatic,black,215652,2005,gasoline,gasoline,2.4,sedan,front,12,False,False,False,False,False,False,False,False,False,True
6,Volkswagen,T4,mechanical,white,295000,2002,diesel,diesel,2.5,minibus,front,6,True,False,False,False,False,False,False,False,False,False
7,Chery,A1,mechanical,orange,84384,2008,gasoline,gasoline,1.4,hatchback,front,7,False,True,True,True,False,True,False,False,False,True
8,Volkswagen,T5,mechanical,white,385000,2004,diesel,diesel,1.9,van,front,4,False,True,False,False,False,True,False,False,False,False
9,Toyota,Corolla,automatic,white,83400,2015,gasoline,gasoline,1.6,sedan,front,19,False,True,False,False,False,True,False,False,True,True
10,Opel,Movano,mechanical,silver,345000,2002,diesel,diesel,2.2,minibus,front,1,True,False,False,False,False,False,False,False,False,False
11,Audi,100,mechanical,blue,325000,1992,gasoline,gasoline,2.3,sedan,all,4,False,False,False,False,False,False,False,False,False,True
12,Nissan,Sunny,mechanical,silver,11111,1991,diesel,diesel,2.0,sedan,front,8,True,False,False,False,False,False,False,False,False,False
13,Dodge,Caliber,automatic,silver,107826,2007,gasoline,gasoline,2.0,hatchback,front,12,False,True,False,True,False,False,False,False,False,False
14,Toyota,Land Cruiser,automatic,blue,470000,2001,diesel,diesel,3.0,suv,all,4,False,True,False,False,False,False,False,False,False,False
15,Kia,Carens,mechanical,silver,360000,2003,gasoline,gasoline,1.8,minivan,front,4,False,True,False,False,False,True,False,True,True,False
16,Fiat,Palio,mechanical,silver,222222,1998,gasoline,gasoline,1.2,universal,front,5,True,False,False,False,False,False,False,False,False,False
17,Volkswagen,Passat,mechanical,other,260000,2007,diesel,diesel,2.0,universal,front,7,False,True,False,False,False,True,True,False,True,True
18,Volkswagen,Passat,automatic,grey,170300,2015,diesel,diesel,1.6,universal,front,12,False,True,False,True,False,False,True,False,False,True
19,Ford,Mondeo,mechanical,black,331522,1995,gasoline,gasoline,2.0,sedan,front,6,True,False,False,False,False,False,False,False,False,False
20,Mercedes-Benz,E300,mechanical,silver,247000,1989,gasoline,gasoline,3.0,coupe,rear,3,False,False,False,False,True,True,False,False,False,True
21,Volkswagen,Sharan,mechanical,silver,360000,2000,diesel,diesel,1.9,minivan,front,9,False,True,False,False,False,False,False,False,True,True
22,Opel,Vectra,mechanical,green,350000,1998,diesel,diesel,2.0,sedan,front,8,False,True,False,False,False,False,False,False,False,True
23,Ford,Escape,automatic,black,3377,2018,gasoline,gasoline,1.5,suv,front,30,False,True,False,True,False,True,True,True,True,True
24,Ford,Orion,mechanical,green,46798,1986,diesel,diesel,1.6,sedan,front,7,True,False,False,False,False,False,False,False,False,False
25,Toyota,Land Cruiser,automatic,grey,330000,2006,gasoline,gasoline,4.0,suv,all,7,False,True,True,True,True,True,True,True,True,True
26,Renault,Sandero,mechanical,other,7200,2018,gasoline,gasoline,1.6,hatchback,front,6,False,True,False,False,False,True,False,True,False,False
27,Audi,100,mechanical,grey,500000,1987,gasoline,gasoline,1.8,sedan,front,11,True,False,False,False,False,False,False,False,False,False
28,Seat,Cordoba,mechanical,black,300000,2000,gasoline,gasoline,1.6,sedan,front,7,False,True,False,False,False,False,False,False,False,False
29,Mazda,MX-3,mechanical,blue,240000,1995,gasoline,gasoline,1.6,coupe,front,5,False,False,False,False,False,False,True,False,False,True
30,Ford,Transit,mechanical,white,285251,1997,diesel,diesel,2.5,minibus,rear,9,True,False,False,False,False,False,False,False,False,False
31,Volkswagen,Touareg,automatic,black,382000,2004,diesel,diesel,5.0,suv,all,28,False,True,True,True,True,True,True,False,True,True
32,Audi,100,mechanical,green,400000,1986,gasoline,gasoline,2.2,sedan,front,9,True,False,False,False,False,False,False,False,False,False
33,Toyota,Avensis,mechanical,grey,138000,2010,gasoline,gasoline,1.8,sedan,front,2,False,True,False,False,False,True,False,False,False,False
34,Renault,Megane Scenic,mechanical,other,320000,1998,gasoline,gasoline,1.6,minivan,front,4,True,False,False,False,False,False,False,False,False,False
35,Peugeot,607,mechanical,silver,280000,2001,diesel,diesel,2.2,sedan,front,6,False,True,True,False,True,True,False,True,True,True
36,Nissan,Note,mechanical,black,180000,2008,gasoline,gasoline,1.4,hatchback,front,8,False,True,False,False,False,False,False,True,False,True
37,Volkswagen,LT,mechanical,white,450000,2003,diesel,diesel,2.8,minibus,rear,8,False,False,False,False,True,False,False,False,False,False
38,Ford,Fiesta,mechanical,blue,380000,1996,diesel,diesel,1.8,hatchback,front,9,True,False,False,False,False,False,False,False,False,False
39,BMW,520,mechanical,other,260000,2001,gasoline,gasoline,2.2,sedan,rear,3,False,True,True,True,True,False,False,True,True,False
40,BMW,528,automatic,green,350000,1997,gasoline,gasoline,2.8,sedan,rear,11,False,True,False,False,True,True,True,False,True,False
41,Volkswagen,Passat,mechanical,silver,420000,1988,gasoline,gasoline,1.8,sedan,front,5,False,False,False,False,False,False,False,False,False,True
42,Chrysler,Voyager,mechanical,blue,287235,1997,gasoline,gasoline,2.4,minivan,front,7,False,True,False,False,False,False,False,True,False,True
43,Peugeot,Partner,mechanical,other,200000,2002,gasoline,gasoline,1.6,minivan,front,9,False,True,False,False,False,False,False,False,False,True
44,Chevrolet,Equinox,automatic,brown,20000,2017,gasoline,gasoline,1.5,suv,all,13,False,False,False,True,False,False,False,True,True,True
45,Volkswagen,Passat,mechanical,silver,500000,1999,diesel,diesel,1.9,universal,front,10,False,True,False,False,False,True,False,False,True,True
46,Opel,Corsa,mechanical,blue,162600,2009,gasoline,gasoline,1.2,hatchback,front,9,False,True,False,False,False,False,False,False,False,True
47,Mercedes-Benz,A140,mechanical,silver,355288,1998,gasoline,gasoline,1.4,hatchback,front,5,True,False,False,False,False,False,False,False,False,False
48,Audi,A6,mechanical,silver,450000,1996,gasoline,gasoline,2.6,sedan,front,3,True,False,False,False,False,False,False,False,False,False
49,Hyundai,Accent,automatic,white,8965,2017,gasoline,gasoline,1.6,sedan,front,16,False,True,False,False,False,False,False,False,True,False
50,Citroen,C-Crosser,mechanical,black,192000,2009,diesel,diesel,2.2,suv,all,3,False,True,True,True,True,True,True,True,True,True
51,Skoda,Octavia,mechanical,grey,159000,2009,gasoline,gasoline,1.8,universal,front,6,True,False,False,False,False,False,False,False,False,False
52,Volkswagen,Passat,mechanical,grey,337500,1992,gasoline,gasoline,2.0,universal,front,24,True,False,False,False,False,False,False,False,False,False
53,Ford,Mondeo,mechanical,grey,340000,2002,gasoline,gasoline,1.8,sedan,front,5,False,False,False,False,False,False,False,False,False,True
54,Kia,Cee'd,mechanical,black,200000,2008,gasoline,gasoline,1.6,universal,front,6,False,True,False,False,False,True,False,False,False,True
55,BMW,X5,automatic,black,55000,2002,diesel,diesel,3.0,suv,all,7,False,True,False,True,True,True,False,False,True,False
56,Citroen,C8,mechanical,blue,300000,2003,diesel,diesel,2.2,minivan,front,7,False,True,True,True,True,True,False,False,False,True
57,Renault,Laguna,mechanical,blue,240000,1998,gasoline,gasoline,1.8,universal,front,3,False,True,False,False,False,False,False,False,False,False
58,Ford,Transit,mechanical,white,350000,1996,diesel,diesel,2.5,minibus,rear,2,True,False,False,False,False,False,False,False,False,False
59,Audi,100,mechanical,blue,320000,1985,gasoline,gasoline,2.2,sedan,all,6,False,False,False,False,False,False,False,False,False,True
60,Audi,A6,mechanical,green,234600,1998,gasoline,gasoline,2.4,sedan,front,10,True,False,False,False,False,False,False,False,False,False
61,Volkswagen,LT,mechanical,blue,800000,1992,diesel,diesel,2.4,minibus,rear,4,True,False,False,False,False,False,False,False,False,False
62,BMW,525,automatic,other,246000,2003,gasoline,gasoline,2.5,sedan,rear,4,False,True,False,True,True,True,True,True,True,True
63,Lifan,Cebrium,mechanical,black,96000,2015,gasoline,gasoline,1.8,sedan,front,5,False,True,False,True,True,True,True,True,False,True
64,Cadillac,Escalade,automatic,brown,482453,2012,gasoline,gasoline,6.2,universal,all,2,True,False,False,False,False,False,False,False,False,False
65,Ford,Focus,mechanical,black,146000,2008,gasoline,gasoline,1.8,hatchback,front,8,False,True,False,False,False,False,False,False,True,True
66,Renault,Grand Espace,mechanical,white,235000,2005,diesel,diesel,2.2,minivan,front,18,False,True,False,False,False,True,False,False,True,False
67,Mazda,Demio,mechanical,silver,247567,2000,gasoline,gasoline,1.3,hatchback,front,9,False,True,False,False,False,False,False,False,False,False
68,Kia,Spectra,mechanical,white,209000,2006,gasoline,gasoline,1.6,sedan,front,15,False,True,True,True,False,True,False,False,True,True
69,Audi,A6,automatic,other,255000,2002,diesel,diesel,2.5,universal,front,13,False,True,True,True,True,True,True,False,True,True
70,Subaru,Forester,automatic,black,233000,2000,gasoline,gasoline,2.0,universal,all,3,False,True,False,False,True,True,False,False,True,True
71,Mercedes-Benz,ML350,automatic,black,111000,2013,gasoline,gasoline,3.5,suv,front,18,False,True,True,True,True,True,True,True,True,True
72,Volkswagen,Passat,mechanical,grey,195000,2010,diesel,diesel,2.0,universal,front,8,False,True,True,True,True,True,True,True,True,True
73,Toyota,Prius,automatic,black,220000,2010,hybrid-petrol,gasoline,1.8,hatchback,front,9,False,True,True,True,True,True,False,False,True,True
74,Audi,A6,mechanical,blue,350000,1996,gasoline,gasoline,2.8,sedan,front,4,False,True,False,False,False,False,False,False,False,True
75,Volkswagen,Golf,mechanical,red,350000,1986,gasoline,gasoline,1.3,hatchback,front,4,True,False,False,False,False,False,False,False,False,False
76,BMW,118,automatic,black,106000,2011,diesel,diesel,2.0,hatchback,rear,11,False,True,True,True,False,True,True,True,True,True
77,Nissan,Almera,mechanical,other,315000,2001,gasoline,gasoline,1.5,hatchback,front,3,False,True,False,False,False,False,False,False,False,False
78,Peugeot,206,mechanical,green,241000,2000,gasoline,gasoline,1.1,hatchback,front,10,True,False,False,False,False,False,False,False,False,False
79,Fiat,Marea,mechanical,grey,179000,1997,diesel,diesel,1.9,universal,front,7,True,False,False,False,False,False,False,False,False,False
80,Land Rover,Range Rover Sport,automatic,brown,115000,2014,diesel,diesel,3.0,suv,all,3,False,True,True,True,True,True,True,True,True,True
81,Citroen,DS5,automatic,grey,62000,2013,gasoline,gasoline,1.6,hatchback,front,18,True,False,False,False,False,False,False,False,False,False
82,Renault,Megane Scenic,automatic,silver,239000,1997,gasoline,gasoline,1.6,minivan,front,6,True,False,False,False,False,False,False,False,False,False
83,Mercedes-Benz,S500,automatic,black,176000,2005,gasoline,gasoline,5.5,sedan,rear,7,False,True,True,True,True,True,True,True,True,True
84,Mercedes-Benz,E300,automatic,black,110000,2014,gasoline,gasoline,3.0,sedan,all,19,False,True,True,True,True,True,True,True,True,True
85,Volkswagen,Golf,mechanical,blue,300000,2004,gasoline,gasoline,1.6,hatchback,front,11,False,True,False,True,False,False,False,False,True,True
86,Ford,Escape,mechanical,green,296119,2001,gasoline,gasoline,2.0,suv,front,24,False,True,False,False,False,False,False,True,False,False
87,BMW,X6,automatic,white,105000,2015,gasoline,gasoline,3.0,suv,all,30,False,True,True,True,True,True,True,True,True,True
88,Citroen,Evasion,mechanical,green,224587,1997,gasoline,gasoline,1.8,minivan,front,4,False,True,False,False,False,False,False,False,False,False
89,Fiat,Brava,mechanical,violet,345000,1997,gasoline,gasoline,1.6,hatchback,front,2,True,False,False,False,False,False,False,False,False,False
90,Renault,Espace,mechanical,blue,299000,1997,diesel,diesel,1.9,minivan,front,7,True,False,False,False,False,False,False,False,False,False
91,Ford,Transit,mechanical,white,450000,1996,diesel,diesel,2.5,van,rear,6,True,False,False,False,False,False,False,False,False,False
92,Peugeot,307,mechanical,black,315205,2004,diesel,diesel,2.0,minivan,front,37,False,True,True,True,False,True,False,False,True,True
93,Subaru,XV,automatic,green,200000,2014,gasoline,gasoline,2.0,hatchback,all,11,False,True,True,False,True,True,False,True,True,True
